# Emission @ 500 nm [W*m^-2*sr^-1*nm^-1]
# Column format:
# Emission angle [deg]	C+	C+.s	C+.p	
4.969347E1	5.122052E0	4.622868E0	4.991846E-1
5.014523E1	5.191192E0	4.662693E0	5.284986E-1
5.059698E1	5.257040E0	4.700748E0	5.562918E-1
5.104874E1	5.319711E0	4.737119E0	5.825920E-1
5.150050E1	5.379307E0	4.771876E0	6.074306E-1
5.195226E1	5.435926E0	4.805084E0	6.308414E-1
5.240402E1	5.489654E0	4.836795E0	6.528590E-1
5.285578E1	5.540573E0	4.867055E0	6.735179E-1
5.330754E1	5.588754E0	4.895902E0	6.928525E-1
5.375930E1	5.634265E0	4.923369E0	7.108961E-1
5.421106E1	5.677164E0	4.949484E0	7.276808E-1
5.466281E1	5.717505E0	4.974268E0	7.432376E-1
5.511457E1	5.755336E0	4.997740E0	7.575961E-1
5.556633E1	5.790698E0	5.019913E0	7.707842E-1
5.601809E1	5.823628E0	5.040799E0	7.828288E-1
5.646985E1	5.854157E0	5.060402E0	7.937550E-1
5.692161E1	5.882315E0	5.078728E0	8.035869E-1
5.737337E1	5.908122E0	5.095775E0	8.123469E-1
5.782513E1	5.931597E0	5.111540E0	8.200566E-1
5.827688E1	5.952754E0	5.126018E0	8.267362E-1
5.872864E1	5.971603E0	5.139199E0	8.324047E-1
5.918040E1	5.988151E0	5.151071E0	8.370804E-1
5.963216E1	6.002400E0	5.161620E0	8.407804E-1
6.008392E1	6.014348E0	5.170827E0	8.435212E-1
6.053568E1	6.023989E0	5.178671E0	8.453183E-1
6.098744E1	6.031316E0	5.185129E0	8.461868E-1
6.143920E1	6.036315E0	5.190174E0	8.461410E-1
6.189095E1	6.038970E0	5.193775E0	8.451949E-1
6.234271E1	6.039260E0	5.195898E0	8.433619E-1
6.279447E1	6.037163E0	5.196507E0	8.406553E-1
6.324623E1	6.032649E0	5.195562E0	8.370879E-1
6.369799E1	6.025689E0	5.193016E0	8.326725E-1
6.414975E1	6.016245E0	5.188823E0	8.274220E-1
6.460151E1	6.004279E0	5.182930E0	8.213490E-1
6.505327E1	5.989746E0	5.175280E0	8.144664E-1
6.550503E1	5.972599E0	5.165811E0	8.067874E-1
6.595678E1	5.952783E0	5.154458E0	7.983254E-1
6.640854E1	5.930242E0	5.141148E0	7.890941E-1
6.686030E1	5.904913E0	5.125805E0	7.791079E-1
6.731206E1	5.876729E0	5.108347E0	7.683816E-1
6.776382E1	5.845616E0	5.088685E0	7.569308E-1
6.821558E1	5.811496E0	5.066724E0	7.447719E-1
6.866734E1	5.774284E0	5.042362E0	7.319220E-1
6.911910E1	5.733889E0	5.015490E0	7.183993E-1
6.957085E1	5.690215E0	4.985992E0	7.042231E-1
7.002261E1	5.643158E0	4.953744E0	6.894139E-1
7.047437E1	5.592607E0	4.918614E0	6.739933E-1
7.092613E1	5.538445E0	4.880460E0	6.579844E-1
7.137789E1	5.480545E0	4.839133E0	6.414118E-1
7.182965E1	5.418775E0	4.794474E0	6.243015E-1
7.228141E1	5.352994E0	4.746313E0	6.066811E-1
7.273317E1	5.283054E0	4.694474E0	5.885801E-1
7.318492E1	5.208799E0	4.638769E0	5.700298E-1
7.363668E1	5.130063E0	4.579000E0	5.510630E-1
7.408844E1	5.046676E0	4.514961E0	5.317148E-1
7.454020E1	4.958460E0	4.446438E0	5.120222E-1
7.499196E1	4.865231E0	4.373207E0	4.920239E-1
7.544372E1	4.766801E0	4.295040E0	4.717611E-1
7.589548E1	4.662977E0	4.211701E0	4.512766E-1
7.634724E1	4.553569E0	4.122953E0	4.306154E-1
7.679899E1	4.438384E0	4.028560E0	4.098247E-1
7.725075E1	4.317241E0	3.928287E0	3.889534E-1
7.770251E1	4.189963E0	3.821911E0	3.680524E-1
7.815427E1	4.056394E0	3.709220E0	3.471744E-1
7.860603E1	3.916399E0	3.590025E0	3.263740E-1
7.905779E1	3.769875E0	3.464168E0	3.057071E-1
7.950955E1	3.616763E0	3.331531E0	2.852314E-1
7.996131E1	3.457055E0	3.192050E0	2.650055E-1
8.041307E1	3.290814E0	3.045725E0	2.450892E-1
8.086482E1	3.118189E0	2.892645E0	2.255434E-1
8.131658E1	2.939429E0	2.732999E0	2.064291E-1
8.176834E1	2.754909E0	2.567101E0	1.878079E-1
8.222010E1	2.565152E0	2.395410E0	1.697415E-1
8.267186E1	2.370847E0	2.218556E0	1.522909E-1
8.312362E1	2.172876E0	2.037359E0	1.355169E-1
8.357538E1	1.972337E0	1.852858E0	1.194789E-1
8.402714E1	1.770558E0	1.666322E0	1.042351E-1
8.447889E1	1.569114E0	1.479272E0	8.984204E-2
8.493065E1	1.369831E0	1.293477E0	7.635397E-2
8.538241E1	1.174782E0	1.110959E0	6.382269E-2
8.583417E1	9.862640E-1	9.339669E-1	5.229713E-2
8.628593E1	8.067673E-1	7.649444E-1	4.182295E-2
8.673769E1	6.389194E-1	6.064772E-1	3.244223E-2
8.718945E1	4.854146E-1	4.612214E-1	2.419311E-2
8.764121E1	3.489259E-1	3.318164E-1	1.710948E-2
8.809296E1	2.320036E-1	2.207829E-1	1.122071E-2
8.854472E1	1.369665E-1	1.304150E-1	6.551430E-3
8.899648E1	6.579236E-2	6.267108E-2	3.121272E-3
8.944824E1	2.001855E-2	1.907382E-2	9.447346E-4
8.990000E1	6.593511E-4	6.283031E-4	3.104798E-5
