# Emission @ 500 nm [W*m^-2*sr^-1*nm^-1]
# Column format:
# Emission angle [deg]	C+	C+.s	C+.p	
4.743467E1	2.600472E0	0.000000E0	2.600472E0
4.788643E1	2.588257E0	0.000000E0	2.588257E0
4.833819E1	2.575853E0	0.000000E0	2.575853E0
4.878995E1	2.563291E0	0.000000E0	2.563291E0
4.924171E1	2.550582E0	0.000000E0	2.550582E0
4.969347E1	2.537724E0	0.000000E0	2.537724E0
5.014523E1	2.524707E0	0.000000E0	2.524707E0
5.059698E1	2.511513E0	0.000000E0	2.511513E0
5.104874E1	2.498121E0	0.000000E0	2.498121E0
5.150050E1	2.484508E0	0.000000E0	2.484508E0
5.195226E1	2.470647E0	0.000000E0	2.470647E0
5.240402E1	2.456512E0	0.000000E0	2.456512E0
5.285578E1	2.442076E0	0.000000E0	2.442076E0
5.330754E1	2.427313E0	0.000000E0	2.427313E0
5.375930E1	2.412194E0	0.000000E0	2.412194E0
5.421106E1	2.396695E0	0.000000E0	2.396695E0
5.466281E1	2.380788E0	0.000000E0	2.380788E0
5.511457E1	2.364449E0	0.000000E0	2.364449E0
5.556633E1	2.347652E0	0.000000E0	2.347652E0
5.601809E1	2.330375E0	0.000000E0	2.330375E0
5.646985E1	2.312593E0	0.000000E0	2.312593E0
5.692161E1	2.294285E0	0.000000E0	2.294285E0
5.737337E1	2.275428E0	0.000000E0	2.275428E0
5.782513E1	2.256001E0	0.000000E0	2.256001E0
5.827688E1	2.235986E0	0.000000E0	2.235986E0
5.872864E1	2.215361E0	0.000000E0	2.215361E0
5.918040E1	2.194110E0	0.000000E0	2.194110E0
5.963216E1	2.172214E0	0.000000E0	2.172214E0
6.008392E1	2.149657E0	0.000000E0	2.149657E0
6.053568E1	2.126423E0	0.000000E0	2.126423E0
6.098744E1	2.102498E0	0.000000E0	2.102498E0
6.143920E1	2.077867E0	0.000000E0	2.077867E0
6.189095E1	2.052519E0	0.000000E0	2.052519E0
6.234271E1	2.026441E0	0.000000E0	2.026441E0
6.279447E1	1.999623E0	0.000000E0	1.999623E0
6.324623E1	1.972055E0	0.000000E0	1.972055E0
6.369799E1	1.943731E0	0.000000E0	1.943731E0
6.414975E1	1.914643E0	0.000000E0	1.914643E0
6.460151E1	1.884786E0	0.000000E0	1.884786E0
6.505327E1	1.854158E0	0.000000E0	1.854158E0
6.550503E1	1.822754E0	0.000000E0	1.822754E0
6.595678E1	1.790577E0	0.000000E0	1.790577E0
6.640854E1	1.757627E0	0.000000E0	1.757627E0
6.686030E1	1.723907E0	0.000000E0	1.723907E0
6.731206E1	1.689424E0	0.000000E0	1.689424E0
6.776382E1	1.654186E0	0.000000E0	1.654186E0
6.821558E1	1.618202E0	0.000000E0	1.618202E0
6.866734E1	1.581485E0	0.000000E0	1.581485E0
6.911910E1	1.544051E0	0.000000E0	1.544051E0
6.957085E1	1.505917E0	0.000000E0	1.505917E0
7.002261E1	1.467105E0	0.000000E0	1.467105E0
7.047437E1	1.427637E0	0.000000E0	1.427637E0
7.092613E1	1.387542E0	0.000000E0	1.387542E0
7.137789E1	1.346849E0	0.000000E0	1.346849E0
7.182965E1	1.305592E0	0.000000E0	1.305592E0
7.228141E1	1.263808E0	0.000000E0	1.263808E0
7.273317E1	1.221539E0	0.000000E0	1.221539E0
7.318492E1	1.178828E0	0.000000E0	1.178828E0
7.363668E1	1.135724E0	0.000000E0	1.135724E0
7.408844E1	1.092280E0	0.000000E0	1.092280E0
7.454020E1	1.048553E0	0.000000E0	1.048553E0
7.499196E1	1.004602E0	0.000000E0	1.004602E0
7.544372E1	9.604931E-1	0.000000E0	9.604931E-1
7.589548E1	9.162945E-1	0.000000E0	9.162945E-1
7.634724E1	8.720792E-1	0.000000E0	8.720792E-1
7.679899E1	8.279243E-1	0.000000E0	8.279243E-1
7.725075E1	7.839105E-1	0.000000E0	7.839105E-1
7.770251E1	7.401225E-1	0.000000E0	7.401225E-1
7.815427E1	6.966489E-1	0.000000E0	6.966489E-1
7.860603E1	6.535813E-1	0.000000E0	6.535813E-1
7.905779E1	6.110149E-1	0.000000E0	6.110149E-1
7.950955E1	5.690476E-1	0.000000E0	5.690476E-1
7.996131E1	5.277801E-1	0.000000E0	5.277801E-1
8.041307E1	4.873151E-1	0.000000E0	4.873151E-1
8.086482E1	4.477573E-1	0.000000E0	4.477573E-1
8.131658E1	4.092126E-1	0.000000E0	4.092126E-1
8.176834E1	3.717878E-1	0.000000E0	3.717878E-1
8.222010E1	3.355899E-1	0.000000E0	3.355899E-1
8.267186E1	3.007257E-1	0.000000E0	3.007257E-1
8.312362E1	2.673010E-1	0.000000E0	2.673010E-1
8.357538E1	2.354200E-1	0.000000E0	2.354200E-1
8.402714E1	2.051847E-1	0.000000E0	2.051847E-1
8.447889E1	1.766943E-1	0.000000E0	1.766943E-1
8.493065E1	1.500441E-1	0.000000E0	1.500441E-1
8.538241E1	1.253253E-1	0.000000E0	1.253253E-1
8.583417E1	1.026241E-1	0.000000E0	1.026241E-1
8.628593E1	8.202109E-2	0.000000E0	8.202109E-2
8.673769E1	6.359040E-2	0.000000E0	6.359040E-2
8.718945E1	4.739941E-2	0.000000E0	4.739941E-2
8.764121E1	3.350800E-2	0.000000E0	3.350800E-2
8.809296E1	2.196812E-2	0.000000E0	2.196812E-2
8.854472E1	1.282327E-2	0.000000E0	1.282327E-2
8.899648E1	6.108214E-3	0.000000E0	6.108214E-3
8.944824E1	1.848595E-3	0.000000E0	1.848595E-3
8.990000E1	6.074971E-5	0.000000E0	6.074971E-5
